Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Europe,Spain,Fruits,Offline,L,4/12/2014,509828126,4/15/2014,8327,9.33,6.92,77690.91,57622.84,20068.07
Europe,Spain,Baby Food,Online,M,12/11/2016,882212722,1/26/2017,5204,255.28,159.42,1328477.12,829621.68,498855.44
Europe,Spain,Cereal,Online,H,4/25/2013,915062701,4/25/2013,6243,205.70,117.11,1284185.10,731117.73,553067.37
Europe,Spain,Beverages,Online,H,10/11/2014,898349320,11/25/2014,382,47.45,31.79,18125.90,12143.78,5982.12
Europe,Spain,Office Supplies,Online,L,12/10/2011,366125667,12/25/2011,3576,651.21,524.96,2328726.96,1877256.96,451470.00
Europe,Spain,Personal Care,Online,C,11/1/2014,141417920,12/14/2014,7560,81.73,56.67,617878.80,428425.20,189453.60
Europe,Spain,Personal Care,Online,H,9/14/2015,472962129,10/15/2015,8859,81.73,56.67,724046.07,502039.53,222006.54
Europe,Spain,Personal Care,Online,M,2/10/2011,823671901,2/22/2011,1674,81.73,56.67,136816.02,94865.58,41950.44
Europe,Spain,Cereal,Online,L,2/28/2016,135090053,4/10/2016,5003,205.70,117.11,1029117.10,585901.33,443215.77
Europe,Spain,Office Supplies,Online,M,4/27/2011,282034337,5/2/2011,9083,651.21,524.96,5914940.43,4768211.68,1146728.75
Europe,Spain,Clothes,Offline,M,12/28/2015,918938386,1/12/2016,3144,109.28,35.84,343576.32,112680.96,230895.36
Europe,Spain,Vegetables,Online,H,9/21/2012,891190183,10/9/2012,1834,154.06,90.93,282546.04,166765.62,115780.42
Europe,Spain,Meat,Online,M,10/4/2010,472073781,10/29/2010,5977,421.89,364.69,2521636.53,2179752.13,341884.40
Europe,Spain,Cosmetics,Offline,H,9/12/2010,460067355,9/19/2010,3009,437.20,263.33,1315534.80,792359.97,523174.83
